investing_symbol,sector,sub_sector
YLIH,Basic Materials,Metals & Mining
YNHB,Others,Others
YONG,Others,Others
YONGq,Others,Others
YSPS,Healthcare,Pharmaceuticals
YTLP,Utilities,Multiline Utilities
YTLR,Real Estate,Residential & Commercial REITs
YTLS,Utilities,Multiline Utilities
YXPR,Consumer Cyclicals,Textiles & Apparel
ZANT,Basic Materials,Chemicals
ZCON,Industrials,Construction & Engineering
ZENT,Technology,Software & IT Services
ZHCO,Consumer Cyclicals,Textiles & Apparel
ZLAN,Industrials,Construction & Engineering
